question_topic_name,question_grade,question_term,question_unit,question_type1,question_type2,question_filename,question_dataset,question_text
수직,P4,2,04,1,0,P4_2_04_00043_51983.png,1,
삼각형을 각의 크기에 따라 분류하기,P4,2,02,1,0,P4_2_02_00042_31095.png,1,
예각과 둔각 알아보기,P4,1,02,1,0,P4_1_02_00043_37166.png,1,
직선 알아보기,P3,1,02,1,0,P3_1_02_00043_34899.png,1,
삼각자를 사용하여 평행선 긋기,P4,2,04,1,0,P4_2_04_00043_52399.png,1,
각 알아보기,P3,1,02,1,0,P3_1_02_00042_25398.png,1,
사각형의 나머지 한 각의 크기,P4,1,02,1,0,P4_1_02_00042_28093.png,1,
예각과 둔각 알아보기,P4,1,02,1,0,P4_1_02_00042_30350.png,1,
정삼각형의 성질 알아보기,P4,2,02,1,0,P4_2_02_00043_37654.png,1,
삼각자와 각도기를 이용한 수선 긋기,P4,2,04,1,0,P4_2_04_00043_52240.png,1,
직사각형과 정사각형의 성질 활용,P4,2,04,1,0,P4_2_04_00042_56794.png,1,
예각과 둔각 알아보기,P4,1,02,1,0,P4_1_02_00042_31090.png,1,
평행사변형의 성질 알아보기,P4,2,04,1,0,P4_2_04_00043_54114.png,1,
이등변삼각형 알아보기,P4,2,02,1,0,P4_2_02_00043_37517.png,1,
직각삼각형 알아보기,P3,1,02,1,0,P3_1_02_00043_00036.png,1,
정사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00042_25576.png,1,
마름모의 성질 알아보기,P4,2,04,1,0,P4_2_04_00043_54159.png,1,
직각 알아보기,P3,1,02,1,0,P3_1_02_00043_34989.png,1,
삼각형에서 나머지 한 각의 크기 구하기,P4,1,02,1,0,P4_1_02_00042_30177.png,1,
각도를 나타내는 단위 알아보기,P4,1,02,1,0,P4_1_02_00043_37091.png,1,
삼각형에서 나머지 한 각의 크기 구하기,P4,1,02,1,0,P4_1_02_00042_28314.png,1,
직선 알아보기,P3,1,02,1,0,P3_1_02_00043_34908.png,1,
직선 알아보기,P3,1,02,1,0,P3_1_02_00043_34626.png,1,
지름의 성질 알아보기,P3,2,03,1,0,P3_2_03_00043_53465.png,1,
마름모의 성질 알아보기,P4,2,04,1,0,P4_2_04_00042_56753.png,1,
사다리꼴 알아보기,P4,2,04,1,0,P4_2_04_00043_53964.png,1,
정사각형의 성질 알아보기,P4,2,04,1,0,P4_2_04_00043_54312.png,1,
평행 알아보기,P4,2,04,1,0,P4_2_04_00043_52349.png,1,
평행 알아보기,P4,2,04,1,0,P4_2_04_00043_52023.png,1,
정삼각형의 성질 알아보기,P4,2,02,1,0,P4_2_02_00043_37494.png,1,
직각 알아보기,P3,1,02,1,0,P3_1_02_00043_35022.png,1,
삼각자를 사용하여 평행선 긋기,P4,2,04,1,0,P4_2_04_00043_52115.png,1,
사다리꼴 알아보기,P4,2,04,1,0,P4_2_04_00042_55729.png,1,
각도기를 이용하여 각도 재기,P4,1,02,1,0,P4_1_02_00042_30110.png,1,
두 각도의 차 구하기,P4,1,02,1,0,P4_1_02_00042_28234.png,1,
각도기를 이용하여 각도 재기,P4,1,02,1,0,P4_1_02_00042_28125.png,1,
평행선 사이의 거리 알아보기,P4,2,04,1,0,P4_2_04_00044_36923.png,1,
직사각형과 정사각형의 성질 활용,P4,2,04,1,0,P4_2_04_00042_92825.png,1,
수직,P4,2,04,1,0,P4_2_04_00043_52190.png,1,
각 알아보기,P3,1,02,1,0,P3_1_02_00042_25388.png,1,
각의 크기 비교하기,P4,1,02,1,0,P4_1_02_00043_37061.png,1,
원의 반지름과 지름 알아보기,P3,2,03,1,0,P3_2_03_00043_53315.png,1,
예각과 둔각 알아보기,P4,1,02,1,0,P4_1_02_00042_31089.png,1,
예각과 둔각 알아보기,P4,1,02,1,0,P4_1_02_00042_99015.png,1,
사다리꼴 알아보기,P4,2,04,1,0,P4_2_04_00043_54003.png,1,
예각삼각형 알아보기,P4,2,02,1,0,P4_2_02_00042_28326.png,1,
지름의 성질 알아보기,P3,2,03,1,0,P3_2_03_00043_53702.png,1,
삼각형을 각의 크기에 따라 분류하기,P4,2,02,1,0,P4_2_02_00042_30382.png,1,
각의 크기 비교하기,P4,1,02,1,0,P4_1_02_00043_37059.png,1,
원을 이용하여 여러 가지 모양 그리기,P3,2,03,1,0,P3_2_03_00042_53343.png,1,
두 각도의 차 구하기,P4,1,02,1,0,P4_1_02_00043_37287.png,1,
둔각삼각형 알아보기,P4,2,02,1,0,P4_2_02_00042_28307.png,1,
직사각형과 정사각형의 성질 활용,P4,2,04,1,0,P4_2_04_00042_92195.png,1,
이등변삼각형의 성질 알아보기,P4,2,02,1,0,P4_2_02_00043_37887.png,1,
마름모의 성질 알아보기,P4,2,04,1,0,P4_2_04_00043_54165.png,1,
두 각도의 차 구하기,P4,1,02,1,0,P4_1_02_00043_37310.png,1,
원을 이용하여 여러 가지 모양 그리기,P3,2,03,1,0,P3_2_03_00042_52641.png,1,
사각형의 나머지 한 각의 크기,P4,1,02,1,0,P4_1_02_00042_28407.png,1,
평행 알아보기,P4,2,04,1,0,P4_2_04_00043_52342.png,1,
각 알아보기,P3,1,02,1,0,P3_1_02_00042_29203.png,1,
정사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00043_34715.png,1,
직각삼각형 알아보기,P3,1,02,1,0,P3_1_02_00042_83654.png,1,
직각삼각형 알아보기,P3,1,02,1,0,P3_1_02_00042_25278.png,1,
정사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00042_25684.png,1,
각을 이용하여 이등변삼각형 그리기,P4,2,02,1,0,P4_2_02_00043_37510.png,1,
삼각자를 사용하여 평행선 긋기,P4,2,04,1,0,P4_2_04_00042_55709.png,1,
직사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00043_00060.png,1,
직사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00042_25444.png,1,
원을 이용하여 여러 가지 모양 그리기,P3,2,03,1,0,P3_2_03_00043_53791.png,1,
삼각형의 세 각의 크기의 합 구하기,P4,1,02,1,0,P4_1_02_00042_30189.png,1,
둔각삼각형 알아보기,P4,2,02,1,0,P4_2_02_00042_30387.png,1,
직각 알아보기,P3,1,02,1,0,P3_1_02_00042_25125.png,1,
예각과 둔각 알아보기,P4,1,02,1,0,P4_1_02_00043_37139.png,1,
예각과 둔각 알아보기,P4,1,02,1,0,P4_1_02_00042_84329.png,1,
삼각형을 각의 크기에 따라 분류하기,P4,2,02,1,0,P4_2_02_00043_37484.png,1,
직각 알아보기,P3,1,02,1,0,P3_1_02_00042_25441.png,1,
각의 크기 비교하기,P4,1,02,1,0,P4_1_02_00043_37046.png,1,
원을 이용하여 여러 가지 모양 그리기,P3,2,03,1,0,P3_2_03_00043_53844.png,1,
정사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00043_34718.png,1,
직사각형의 특징 알아보기,P3,1,02,1,0,P3_1_02_00043_34681.png,1,
삼각형을 각의 크기에 따라 분류하기,P4,2,02,1,0,P4_2_02_00043_37430.png,1,
원의 반지름과 지름 알아보기,P3,2,03,1,0,P3_2_03_00042_53243.png,1,
평행선 사이의 거리 알아보기,P4,2,04,1,0,P4_2_04_00044_36891.png,1,
평행사변형의 성질 알아보기,P4,2,04,1,0,P4_2_04_00043_54097.png,1,
두 각도의 차 구하기,P4,1,02,1,0,P4_1_02_00042_28015.png,1,
주어진 거리의 평행선 긋기,P4,2,04,1,0,P4_2_04_00044_36870.png,1,
삼각자와 각도기를 이용한 수선 긋기,P4,2,04,1,0,P4_2_04_00043_51934.png,1,
평행사변형의 성질 알아보기,P4,2,04,1,0,P4_2_04_00042_55745.png,1,
직각삼각형 알아보기,P3,1,02,1,0,P3_1_02_00042_32779.png,1,
원을 이용하여 여러 가지 모양 그리기,P3,2,03,1,0,P3_2_03_00043_53771.png,1,
예각과 둔각 알아보기,P4,1,02,1,0,P4_1_02_00043_37144.png,1,
둔각삼각형 알아보기,P4,2,02,1,0,P4_2_02_00042_83942.png,1,
